"season","teamid","off","def"
"A",502,-0.888888888888889,9.77777777777778
"A",503,-1.0944,12.5856
"A",504,0.373113854595336,-0.256515775034294
"A",506,-3.26909722222222,7.93923611111111
"A",508,-3.1304347826087,5.8695652173913
"A",509,-0.325443786982249,0.443786982248521
"A",510,-3.00887573964497,10.0295857988166
"A",511,7.22666666666667,-1.80666666666667
"A",512,-1.76543209876543,2.5679012345679
"A",513,6.07818930041152,-1.73662551440329
"A",515,2.38,-1.58666666666667
"A",516,-1.98816568047337,4.47337278106509
"A",517,-1.84027777777778,9.20138888888889
"A",518,1.46,-0.973333333333333
"A",519,2.72839506172839,-1.60493827160494
"A",520,0.653061224489796,-0.489795918367347
"A",521,-1.2288,2.6112
"A",523,-1.6937618147448,3.1758034026465
"A",526,-0.455621301775148,0.390532544378698
"A",527,5.3265306122449,-2.95918367346939
"A",528,2.0332936979786,-1.24256837098692
"A",529,0.0384,-0.0416
"A",530,5.0487514863258,-1.6064209274673
"A",531,-1.93786982248521,3.10059171597633
"A",533,0.931952662721893,-0.683431952662722
"A",534,-0.895408163265306,1.03316326530612
"A",535,2.92899408284024,-1.30177514792899
"A",536,2.08545918367347,-1.80739795918367
"A",537,-1.11805555555556,5.59027777777778
"A",538,-0.3648,0.3952
"A",539,3.80109739368999,-2.23593964334705
"A",540,-0.22189349112426,0.162721893491124
"A",541,2.5077288941736,-1.31985731272295
"A",543,-1.5552,2.7648
"A",544,-0.954732510288066,1.19341563786008
"A",545,-0.403846153846154,0.403846153846154
"A",546,0.316290130796671,-0.338882282996433
"A",547,2.1008,-1.9392
"A",548,-1.6159122085048,20.19890260631
"A",549,13.4066587395957,-2.14506539833532
"A",550,-3.28166351606805,7.50094517958412
"A",551,3.48979591836735,-1.93877551020408
"A",552,-2.44082840236686,10.2514792899408
"A",553,-1.55208333333333,10.8645833333333
"A",554,10.56,-1.44
"A",555,-0.392390011890606,0.366230677764566
"A",556,-1.76543209876543,3.53086419753086
"A",557,1.64609053497942,-1.13168724279835
"A",558,-2.448,7.752
"A",559,17.783203125,-1.185546875
"A",560,2.89163237311385,-1.70096021947874
"A",561,-1.89349112426036,3.02958579881657
"A",562,-0.116071428571429,0.133928571428571
"A",564,-2.25443786982249,7.51479289940828
"A",565,-2.78125,8.34375
"A",566,-2.448,9.792
"A",567,-1.104,0.736
"A",568,13.5059171597633,-2.45562130177515
"A",569,0.249702734839477,-0.233055885850178
"A",570,1.8928,-1.7472
"A",571,-4.3758573388203,7.43895747599451
"A",573,-0.653983353151011,1.07015457788347
"A",574,1.64795918367347,-1.06632653061224
"A",575,-1.54732510288066,1.93415637860082
"A",576,15.3061224489796,-1.83673469387755
"A",577,3.76,-2.50666666666667
"A",578,-1.30864197530864,2.61728395061728
"A",579,-2.30452674897119,2.88065843621399
"A",580,-1.496,1.904
